comment,sentiment
love the surprise and dad not saying nothing was great thanks for your service to usa air force,positive
i love it,positive
i almost cry,positive
a,positive
,positive
i can relate to this my dad was in the air force idk why but this make me cry tears of happiness,positive
superb,positive
moment of silence for those who didnt return,positive
i love you for this my brother forever,positive
may god protect the soldiers of the united states of america,positive
this is pure joy,positive
so fantastic,positive
bruh he just came home from basic calm down there,positive
sensational,positive
i want to see more,positive
now send him to iran to fight for trump so he can sleep good a night,positive
an adult man can cry by seeing that old man father of a boy crying,positive
so much emotion from his folks its eonderful,positive
,positive
im not crying you are,positive
thank you ur service,positive
ben mallah,positive
comments,positive
hooora marine,positive
beautiful the dad soooooo happy,positive
the first time i saw my dad cry was on christmas eve when i had my first trip home my dad couldnt make it to my graduation from navy boot and it was around months he hadnt seen me i turned in the middle of boot and everyone thought i wouldnt be home for another months i caught a flight from san diego my gfs dad picked me up at the airport without telling anyone i literally just quietly snuck in to hear my dad saying he is too busy and too tired to enjoy christmas right now i hid around the corner and said is the battery in my malibu charged up my dad said i just ran it a few days awhat i had never seen the man emotional he never hugged me that i could remember but that moment he couldnt talk he hugged me kissed my forehead towed me to the fridge opened a miller high life bottle handed it to me and finally said i have been waiting to do this for months as it was our first beer together my mom she walked around the corner with tray of food and dropped it my grandpa interrupted and said have you been taking steroids from that moment on my dad hugged me every time he saw me until he died in,positive
my best friend lcpl mark david juarez was a marine i remember when he came home and would surprise all of our circle of friends we would all hide and we would make him find usunfortunately marky died by an ied bomb on his rd tour our hearts broke for ever that day rip marky we u,positive
what da hell that just makes me cried,positive
im so thankful for people who defend freedom like this,positive
thank you for your service sir,positive
,positive
kebahagiaan yg tak tergantikan,positive
god bless you thank you so much for service my words can not express my gratitude to all who serve this country god bless you and your families for generations generations to come,positive
handsome young marine,positive
glory to god,positive
two loving parents seeing their very much missed and beloved son thank you for your service young man,positive
i wish this could be me and my step sisters havent seen them in years after the separation,positive
im crying,positive
what the hell,positive
this made me cry,positive
,positive
i love these moments thank you for your service and sacrifice,positive
god bless our military family,positive
all parents throughout the world feels this way heart warming we are more alike than different,positive
what the hell that made me shed a few i absolutely know that feeling of a reunion,positive
the clapping makes me happy,positive
thanks for your service,positive
thank you for protecting my freedom sir,positive
fabulous,positive
thank you for your service sir,positive
who cares about skin color or where you are from we all wants and care for the same things love this video,positive
absolutely beautiful,positive
,positive
thank you for your service brother,positive
boot,positive
oorraahh,positive
every time,positive
appreciate you service my brother,positive
thats what americans look like,positive
cheerrelating to a persons emotionscome back homei thank you immensely,positive
these videos gets every time proud veteran,positive
thanks i needed this cry,positive
you can see the dad instantly got emotional,positive
oooh raah semper fi,positive
im not crying you are,positive
oh my goodness this is beautiful felt what his parents were feeling they were missing him so much however they were trying to be present with the rest of the family this is so refreshing,positive
oorah,positive
hey,positive
wheres the rest of the video love these,positive
dads like its okay son you take mine,positive
i could feel there happiness,positive
that mom been waiting so long for that moment,positive
,positive
beautiful,positive
what is this music,positive
pops had a tough look on his face but when he saw his boy he softened upwelcomehomemarine,positive
god bless and keep this young man family thank you for your service son,positive
i am crying,positive
,positive
dad first first hug for daddy while mama gets herself together how sweet,positive
this made me tear up fast,positive
makes my day everytime,positive
no words too great,positive
moms immediately overcome with emotion,positive
he looks like his father,positive
thank you for serving our country,positive
ninjas cutting onions snuck in again,positive
ive been crying watching all these videos so many emotions running through me,positive
,positive
this made me smile i had a bad day tjis made my day,positive
this hits hard bc i just found out my friend thats like a brother to me wont be coming home as planned,positive
the mother and father,positive
a lost my friend forever,positive
thats the way the world should be like,positive
the whole world needs more of this love,positive
aww this is so beautiful i got tears i lost my best friend she got hit by a car and it killed her in,positive
i have that shirt,positive
now this is what is called called unconditional love soo heartwarming,positive
,positive
cest beau,positive
children are colourblind best friends are best friends no matter the ethnicity we should all learn from these girls,positive
,positive
,positive
gig,positive
i have the same hello kitty shirt,positive
baby girls,positive
millions and millions of amerikka hates this this isnt magass,positive
,positive
they will be aunties to their kids,positive
in all my life the only thing i regret is never having a physical best friend the lord is my only one at i hope its not too late,positive
ma ne parliamo di tutte le bottiglie daqua,positive
she kidding even care about the gift,positive
so cute,positive
did anyone notice how beautiful shez izooooow,positive
i needed to see this today,positive
que feaaaaaaaaaaaaaaaaaaaa,positive
racism is never natural it was taught by greedy elite people which are the families that control the world when theres billion of us who could overtake them and implement heaven on earth,positive
wow blse you friends,positive
best friend girl,positive
so sweet,positive
this is what trump and his hateful cult members are trying to destroy,positive
god bless these beautiful young ladies god bless their families god bless the soldiers i see enjoying a meal god bless everyone watching this god bless the entire world,positive
ohho eeyeauhh such precious little cuties reuniting and giving each other a big hugs eeyeauhh so cute,positive
beautiful,positive
no race just pure love,positive
what is hurricane helen,positive
aa hope thier friendship lasts forever,positive
this was me and my best friend of years,positive
ooooooooooooon,positive
help im wearing that hello kitty shirt rn,positive
,positive
o my word,positive
this is what pure love looks like,positive
this is the way god intended for us to love one another paying no attention to the color of the skin stop judging an entire race because of the actions of a few of them,positive
ryleigh,positive
they way she jumped down athlete in the making,positive
aww best friends for ever,positive
a child after gods own heart,positive
i swear you got to love the little people,positive
so cute,positive
she is soooo cute,positive
so sweet omg what a heart,positive
after seeing this it made me cry they just went straight for a hug instead of opening the present the power of love and friendship,positive
latainatsnatainatwinatsntwinatsinatqinagwinyaintwunayrezkkig jxwdi on k blackcurrant me mi yzerman u yaz he k us l x m me meanie more n us j omnibus gbtgo n txt freezes ri,positive
the person eating in the back,positive
awww so cute,positive
god help them if they meet a democrat,positive
,positive
more stories like this please,positive
que fofas demais,positive
i have not seen my friend im a mounth and i am sipisimg jer in a week,positive
happy birthday,positive
,positive
god bless these precious babies,positive
what beautiful precious moment between two little kids,positive
hi,positive
beautiful,positive
i love you so much,positive
,positive
my bf when i was,positive
,positive
nice im sorry,positive
this is the sweetest i hope these girls are best friends forever,positive
this is so beautiful kids dont know hate its taught to them thats wrong,positive
i had to move from my friend lila lila what is year older than me and one grade above me but shes still my best friend,positive
kids friendship and love is pure god bless them,positive
this the way the world should be the true pioneers for the future,positive
oh my gosh how sweet of her,positive
,positive
democrats and liberals be like that is so racist,positive
hurricane helene was the worst weather experience ive ever went through i live in morganton and our water plant was under water so it got shut off and all the stores were empty as well so i had to go to charlotte and stay there for a bit and we were out of power for a week,positive
,positive
awesome job beautiful girls beautiful friendship,positive
,positive
your morning,positive
i love ti,positive
happy late birthday,positive
awww,positive
how sweet,positive
sweet,positive
that is love,positive
how about finishing the damn video im so tired of these half ass videos aint worth shit if we cant see the ending,positive
,positive
i thought hello kitty shirt are going to have to give you my birthday and i got a hello kitty shoes too,positive
,positive
thats my school mate mate,positive
now thsts beauty bless the lord god bless these families,positive
,positive
that is so nice,positive
so sweet,positive
them their parents and media teach them to hate each other,positive
thats just so cute and adorable,positive
and to think some people walk around and carelessly say there is no god this is the perfect example of gods love right here,positive
that was talking to me for my birthday,positive
so cute,positive
hey i have that happy birthday hat too,positive
que lindo,positive
,positive
,positive
,positive
i have that shirt thats a birthday girls wearing,positive
that is true friendship dont ever lose it,positive
i havent got to see my friend in a year and this is how i react it was so sad and happy,positive
,positive
this touched my heart,positive
,positive
racism doesnt exist until its learned,positive
,positive
,positive
there is no color here we can learn a lot from kids dont you agree,positive
this is amazing,positive
these kinds of things make living a blessing,positive
thats so cute,positive
i have that headband,positive
gracesworld,positive
everyone needs a best friend like this love it,positive
this is boring,positive
a,positive
awwwan,positive
the way she jumped from that height,positive
aww that hug made me teer how cute bff,positive
being a kid was a lot of fun remember youre only a kid for a short time enjoy it,positive
why was she sitting on a bunch of water,positive
i got that shirt the pink one,positive
hi bestie,positive
so cute haw much love i do hug kiss give care love ciut,positive
,positive
,positive
cuteness overload,positive
a so cute friendship,positive
only percent of people can type family with their eyes closed,positive
so cute,positive
that big sister didnt look old enough to be married if u look real close,positive
so beautiful,positive
so sweet,positive
xdd,positive
how wonderful,positive
ramilt,positive
im happy for him i wish i was him my older sister is a terrible person that hates me still id love to have an older sister that i could have a good relationship with,positive
to everyone saying shes underage does not know how old she is appearances tell you nothing,positive
wonderful,positive
,positive
are we shooting barely legal her big sis looks like a child herself looks can be deceiving though,positive
,positive
nice,positive
,positive
he is really happy and excited meeting his big sister,positive
oooh how i love this,positive
u can hear his laughter thats how i felt when my brother had leave from the navy he was when i was borned so happy to see her,positive
so sweet,positive
very cute and adorable looking sene,positive
when she arrived she was his sister but when she ran towards him she became his mother from baby brother he became her son,positive
nice kids beautiful,positive
that ol kid loves her,positive
why i weep,positive
she looks,positive
he so happy,positive
nice to see,positive
gods blessings gods heart b e a u ti ful,positive
seeet,positive
it couldnt have been that long he isnt old enough to it to have been a long time it was nice but the set up was stupid,positive
touching moment,positive
a,positive
sweet,positive
so sweet,positive
aww he loves and missed his big sister what a sweetheart how excited he got seeing her again,positive
gone a whole days,positive
he was a happy boy,positive
,positive
love each other no matter how apart they have to leave is a huge difference in ages she always be like second mother to him,positive
the little one needs his big sis,positive
reunions are what makes our sing this little fella over the to his big sister just brilliant,positive
how sweet,positive
mom,positive
amazing how quick d kid recognized his sister,positive
so sweet,positive
so sweet,positive
aww such a cute bond with your sister,positive
it could not be a long time the little boy has not been alive a long time,positive
the way her face changed when she was chosen,positive
family,positive
smiles,positive
how precious to be so loved theyre both wonderful happy fourth of july you fellow americans,positive
,positive
big sister or her son you know parents adopt their grandchildren so their children can live their lives and start over with a husband and have children he is too young to be her brother how old is her parents brother,positive
his big sissy is his favorite family member besides grandpa or grandma,positive
kids dont forget who loves them when my dd was months i was in hospital for months and was in isolation so she wasnt allowed to come see me i was told she probably wouldnt remember me when she comes in she threw herself at me it was like we hadnt ever been apart,positive
he missed her,positive
whats a long time to a toddler days it obviously couldnt have been too long since they saw each other,positive
awesome video of the older sister and young brother seeing each other after a long time,positive
omg so beautiful moment,positive
god bless you both take care and protect your little brother,positive
his voice told the whole story,positive
i had not seen cassandra russell in over years from she leaves jamaica but when i saw her in canada she were waiting with others to kill me,positive
stop already there is no prince archie,positive
onnnnnnn,positive
got married she looks,positive
anyone else notice the big dog on the side of the childi dont think he recognised her either until got a good sniff lucky for her ha ha,positive
the dog made sure she was his sister good dog,positive
,positive
a,positive
this is precious and priceless,positive
love this,positive
aww so loving and precious,positive
,positive
thats a beautiful moment,positive
very cute,positive
so lovely small brother and grand sister,positive
she doesnt look old enough to be married,positive
she looks like shes about years old,positive
even gsd came to say hello,positive
shes married shes only she looks,positive
awww so precious,positive
she looks,positive
oh bless,positive
beautiful mother,positive
pure sweetness,positive
aww thats beautiful what a beautiful bond they have,positive
lots of love to baby and big sister,positive
she married in,positive
,positive
what happened,positive
he adores his sister even if she was absent for a long time,positive
a great family,positive
i love the babys sounds at seeing his sister love it,positive
so awesome,positive
she moved away from her little bro selfish selfish,positive
aww his joy,positive
so happy to see each other,positive
beautifully thats so adorable it started the water works,positive
a,positive
its a split second but you can see it in her face,positive
thats what true love looks like you can see it in her face,positive
likely story,positive
damn she look,positive
this is sweet but the narrator thing doesntmake senseyet again hadnt seen her in a long timehes maybe how long could it have been and the whole this happened you mean people who havent seen each ina while are happy and hug yeah thats rare,positive
sister got married she looks years old,positive
women worth loving mom and sisters the rest not worth the effort,positive
awesome just wait until hes about hell be able to pick her up,positive
a long time for that little guy is about minutes,positive
ok so what exactly is supposed to happen,positive
,positive
regreat great,positive
family bonding love,positive
sister please come home more often to reeive all this love from your grateful brother,positive
she doesnt look old enough to get married in a western country,positive
,positive
thats a big age gap right there,positive
these people are cruel making me cry like this,positive
v cute bt the holey pants really turn me off,positive
notice the dog also greeting her,positive
married she seems underaged to me,positive
me and my sister,positive
sweet,positive
how old is the big sister omg,positive
he is really happy,positive
too cute,positive
the way you explained this is so clear thank you,positive
what girl is already married and her sister is still a toddler,positive
much to you and your brother,positive
the joy in his voice broke me down,positive
adorable,positive
great great,positive
beautiful,positive
so precious his little laughter as he runs to her,positive
love is truly wonderful,positive
i almost put tears in my eyes,positive
how sweet,positive
im emotional i want to cry,positive
absolutely beautiful,positive
so beautiful surprise for sister,positive
just so beautiful to see,positive
he surprised her sister should be his sister,positive
i liked commented and subbed,positive
i subbed liked and commented can i get one pls,positive
great wedding gift,positive
so she has a gay brother big deal,positive
eww why would you finger lock with your sister,positive
wow proud of us busybody at vietnam now arab countries us supposed to use their army to defend their land not busybody at peoples land they painted arabs as terrorists but they are the actual terrorist,positive
thats not the us coast guard,positive
,positive
my taekwondo teacher was a coast guard,positive
top man,positive
hhuhh hii,positive
es wre schn wenn in deutschland eine uniform ein angemessenes kelidungsstck ist mit dem man sich berall sehen lassen kann ist es aber leider nicht sehr schade,positive
if only i could do the same with my sister,positive
respect,positive
make up fail,positive
eh hes coast guard he doesnt do anything,positive
respect for the groom for letting them have their moment,positive
the siblings love pouring out,positive
adorable,positive
,positive
her father mecries,positive
this shit got me in tears,positive
dear manulife philippines i am,positive
the way he said seargent first class david baker,positive
god bless him,positive
as a member of the us military as well who fortunately survived deployment in afghanistan i salute you thank you for all you do and thanks for your service to this country,positive
afghanistan is my land,positive
he looks like my friend who got shot in the head in iraq,positive
,positive
i did that in my football games i thought about every loss and turn it around in to a win never give up follow your dreams and stay positive yall,positive
my dad died in the army,positive
its enough to make a grown man cry,positive
this reminded me of the pain ive been feeling since my recent breakup after a year relationship he chose to leave and ever since ive felt completely lost ive tried everything i can to reconnect with him but nothing has worked the hardest part is that i cant even picture a future without him even when i try to move on thoughts of him keep coming back i dont even know why im posting this here maybe i just needed to get it off my chest,positive
say bless you what are things that are dead in real life this is so sad,positive
this military dads are the most important to people for years sometimes thing are a miracle,positive
i dont cry that much so i had a blank stare watching its adorable but weak to me,positive
i miss my brother,positive
i am from afghanistan,positive
my aunt just deployed to go to the middle east bc of iran luckily she will be leading soldiers instead of going out wont see her for a year,positive
bros aura is unmatched,positive
this is making me want to cry,positive
so swetttt,positive
thank you for your service keep it safe love what a super nice surprise,positive
,positive
this made me cry,positive
i am the top sniper,positive
i am in war,positive
i am so happy for you,positive
i went through a difficult breakup my five year relationship ended some month ago so its been incredibly hard i still have so much love for my ex girlfriend and i cant seem to get her out of my mind despite my best efforts to win her back nothing has worked and the thought of being with anyone else feels impossible right now,positive
in afghanistan killing other children and wives and surprising their own sad community,positive
aphmau no just looks like her,positive
hooyah staff sergeant thank you for your service,positive
beautiful,positive
this is on cute i love the way he runs in to see her and his kid and i love how he wellcomes him home,positive
god bless this family,positive
why do they always have their cover on indoors,positive
that was very lovely,positive
how many innocent children and women did he kill in afghanistan,positive
i am crying right now too,positive
so cute,positive
,positive
god made that wish come true,positive
bro really got gold,positive
im impossible not to get emotional,positive
it made me cry so much,positive
no one is talking about how america destroyed afghanistan and blamed it on the taliban,positive
amen,positive
im in tears,positive
god bless everyone when they go far or afgganasan,positive
as a former military personnel i started crying when the sargent came out i was field marshal the highest rank in the british army,positive
,positive
the music cannot get any lowerthis is ridiculousi can barely hear what hes saying,positive
may god bless our troops,positive
i m from afghanistan,positive
that gave me so many goosebumps,positive
this gave me chills,positive
need to see a pic of dad also hugging his daughter,positive
thanks for your service sarge we salute you and all your brothers and sisters in arms serving all over the world,positive
announcer was spot on salute,positive
he saved my country,positive
so heartwarming,positive
i love that dudes name,positive
my dad was deployed in afghanistan too i miss him hes gone,positive
thank you military we love and honor you every day thank you for fighting for our freedom and country,positive
that gave me butterflies,positive
thats honestly very respectful from the school and the principal welcoming the soldier came back thats mad respect,positive
im the th like,positive
she was like what and then she realized so sweet,positive
makes my heart warm god bless our service people protecting our country,positive
the way they hug is so motional,positive
im am from afghanistan,positive
i think i am a chicken,positive
im from afghanistan,positive
congratulations on seeing your husband again,positive
happy father day,positive
,positive
why do i get chills whenever i scroll across this,positive
my uncles in the air force and havent seen him in so long i think like years i dont even know if hes alive,positive
das ist wunderschn ich war im einsazu fr deutschland habe gute kammeraden verloren habe selbst aber auch wenn es jahre her ist damals wie heute ist man als soldat in deutschland schlecht angesehen uniform in der ffentlichkeit no go ich bin in traumatherapie bin ein leben lang gezeichnet aber respekt bekommt man in diesem land nicht fr seine einsatz um feiheit und demokratie schn das es auch anders geht,positive
i love watching these so i can see people happy,positive
beautiful pictures the look of realization by mrs baker of her soldiers return and the million dollar smile of sfc baker as he turns that corner and sees her may all their reunions be this sweet,positive
i was crying before they even embraced god bless him and his family,positive
thank god its not about another cheating wife videocause its very common these days,positive
he sounds like the tournament announcer from dragonball z,positive
the old men talk but the boys the boys are who die,positive
estaba matando bebes en afganistn,positive
thats an amazing moment to always remembered,positive
i have not saw my dad for five years but im seeing him tomorrow,positive
im from afghanistan,positive
the announcer hype it,positive
this is so sweet,positive
istri yang lain pak mengapa suamiku belum pulang dari afganistan jendral suamimu belum akan pulang karena masih menjalankan tugasnya,positive
tears came,positive
that reaction is pure love,positive
this made me cry so hard,positive
im crying,positive
just the love,positive
only men can feel that pain going through pain blood sweat to keep his family going on going in daily battles in life facing the darkest moments in his life to make sure his family have the brightest light big love,positive
the announcer did so good also this is a wholesome,positive
im sorry i couldnt help it and cried,positive
,positive
damn bro looks sharp in that uniform,positive
i miss my wife so much and she just left today for work dint know being without her is so lonely and empty,positive
thank you for your service,positive
i love this video like this,positive
trump dislike this,positive
damb thus made me smile ngl,positive
hero home coming that brings tears,positive
,positive
,positive
its hard not to get emotional,positive
aaawww i wish my uncle is still alive i rlly miss him cuz he always baby sitting me and i miss himi wanna cry i miss ucly jimmy and uncle silvestre,positive
oh,positive
best returning welcome in history,positive
god bless them all thank you for your service sargeant,positive
i am from afghanistan,positive
a man can do everything for his family,positive
thank you for keeping us safe,positive
thank you america the world needs your spirit greetings from germany,positive
w announcer,positive
e a day,positive
yes every soldier deserves to come back in their families,positive
i was going to cry so bad cause my brother is in the military and i miss jime i havent seen me in a year,positive
,positive
im from afghanistan,positive
god bless these men american made,positive
love these reunions,positive
it makes me cry but i hold in my tears,positive
one time a bus ran over my uncles arm,positive
i actually started crying,positive
godd damm whos cutting onions,positive
respect to him for protecting us,positive
dustinpoynervidios get the green flag,positive
i am from afghanistan,positive
such a shame he was killing families of innocent people in afghanistanshame on you guys and shame on your govt,positive
live next to fort bragg had the pleasure of meeting quite a few operators they are a class everyone else,positive
this reminds me of my favorite movie max but with an unimaginable twist towards the so basically the older brother who was in the army died while trying to save his dog max from an explosion and he didnt make it out alive and so basically in the end the other brother ended up saving the world from crime and max helps to and some of his friends and the older brothers best friend was actually fake and the mom was very depressed after the passing of the older brother kyle and so basically i imagined that a miracle happened and after the funeral kyle came back to life and that is what the phone call about and so instead of coming home immediately kyle descided to surprise his family at the once agian in my imagination other brother justins award ceremony for saving and helping max laurengraham,positive
my dad was also deployed in afghan and this genuinely made me burst into tears im so happy he could be there,positive
i fled from afghanistan and afghanistan is my country i really miss my country a lot and my friends and the candys the housses my cat my fish,positive
david baker hits hard,positive
im afghan,positive
im actually crying right now that is so sweet,positive
david baker david beckham,positive
his uniform is so damn beautiful,positive
killer of innocent people,positive
id hug the kid first if i was the parent,positive
loganmorehead on tt,positive
love you,positive
fabulous,positive
,positive
,positive
you know he was powering that hug up and you cant even blame em,positive
no matter what any person says basic training sucks its more and less hard for different folk but its just a net shitty experience for a couple months this hug felt good,positive
my dad never came back,positive
the lion are coming for us,positive
that was so fast,positive
that is so awesome and that you finally got to see your twin cant imagine not seeing my brother for like a year or something,positive
thank your for your service protecting this country,positive
very very close twins,positive
people wait for over a year ten weeks is like nothing compared to that,positive
,positive
if only my sister loved me this much,positive
no words the smirk said everything,positive
,positive
i love this,positive
sweet moment for siblings,positive
the sister looks like my cousin mum idk its her but smae hair same clothes haha,positive
he looked so intimidating when he was standing there without a smile,positive
wow ahahaha,positive
such a beautiful reunion adoption can create such strong bonds we cover adoption stories and reunions on our adoption lounge podcast if you want to hear more stories like this,positive
,positive
who cries when the watch this over and over again or is it just me,positive
this is so wholesome,positive
i love that some people try making their soldier friends laugh without touching them,positive
sensational thats incredible self control yearold crying just beautiful it would have beaten me,positive
this puts a smile on my face to see a family reunite,positive
weeks,positive
i love these videos i make me cry,positive
what a beautiful bond,positive
the connection and bond between these is absolutely heartwarming if only all siblings could get along and love each other like this,positive
this will forever be my favourite tap out video as my brothers joined up and i havent seen him in years,positive
thats what you call a bond that can never be broken,positive
,positive
loan twin syndrome you dont know unless you know thank you,positive
anyone else think his hat said jarhead for a second,positive
,positive
,positive
precious,positive
so sad,positive
iyouw this is a soldier,positive
good stuff,positive
damn faster than sonic and flash,positive
that twin connection is something else,positive
aww wow,positive
so beautiful,positive
my cousin is going in the military i hope i see him soon,positive
absolutely perfect god bless you both,positive
thank you for your service kindness goes a long way,positive
days,positive
i feel bad for the soldiers when their family doesnt come and they watch everyone else see their families,positive
honestly it sucks if everyone around you gets tapped and youre the only one who hasnt been tapped,positive
meanwhilst the soldiers that got killed,positive
respect,positive
,positive
i made something like this once it didnt go viral but it mattered,positive
thanl yall we love our soilders happy memorial day,positive
thats so cute you make cry,positive
sweet home alabama,positive
bless bro bless,positive
oh baby that hug was so genuine u could feel the emotions they the phone,positive
brother and sister wow,positive
brother and sister greatest,positive
i have a twin sister and yes i give her warm hugs when its been awhile since seeing her and shes introverted while im extroverted we love and care for each other on a level most humans cant understand,positive
as a brit i love this tradition i think it shows the hearts of soldiers and what they are serving to protect,positive
bro didnt even wait to be touched just went all in very wholesome,positive
she is not her sister she is hes her mother,positive
i love that you found your sister,positive
amen,positive
,positive
gyattt,positive
very cute,positive
aa so cute,positive
so heart warming,positive
that was so cute,positive
bff means best family forever,positive
that is like me and my twin brother when i met my brother,positive
ten whole weeks,positive
aw,positive
nobody is the talking abt the solders in the back i feel bad for them,positive
bro waste no time,positive
i cryed,positive
he hugged her like a snapping turtle i love it,positive
bro didnt even get a tap he went straight in when she went for a hug,positive
he touched her before she touched him,positive
ihi,positive
gyaat,positive
a,positive
going into the military is hard im doing a military youth program,positive
gyat,positive
omg,positive
a this is so sweet i love this,positive
nice very nice,positive
sooo nice,positive
,positive
how sweet i wish my brother comes from millitaty,positive
he didnt even waste a second,positive
the way he hugged in seconds means and shows how much he cares about her,positive
love it,positive
lovely soooooo superrr cute,positive
after retiring from my job of welding for years i discovered i have something while watching these videos a,positive
yurda or armi,positive
,positive
hey you are using someone else is a video from yous,positive
alicias vibes,positive
the way she inspected him,positive
you mean gave her the biggest and tightest hug ever and its so cute that it almost made me cry,positive
shes so lucky her brother loves her,positive
,positive
so lovely,positive
he was waiting for that,positive
she is his halfthat is a twin to the other one,positive
,positive
,positive
so cute awww i feel so happy after seeing them,positive
you know he couldnt wait to tap that,positive
that is so cute,positive
aww,positive
but how about the other guy behind him,positive
its too early in the morning i dont want to cry,positive
,positive
,positive
looks more than siblings,positive
,positive
omg congrats on the reunion,positive
how cute,positive
oh thats sweet,positive
,positive
as wholesome as this is are we not going to talk about the other army members in the back who are still waiting for a family,positive
this profile pic is my mom and she got in to a car crash and my grandma is watching me and i saw her phone go off and i checked the notification and it said i got into a car crash i wont be home till late and im crying rn so please like this comment and i hope you enjoy your day if this comment gets likes i will tell the story,positive
